Title:,"Time Series, Area-Averaged of Sea Surface Temperature at 11 microns (Day) 8-daily 4 km [MODIS-Aqua (8-daily)"
User Start Date:,2002-07-04T00:00:00Z
User End Date:,2022-12-25T23:59:59Z
User Bounding Box:,"10.7867,76.6548,10.7867,76.6548"
Data Bounding Box:,"10.7708,76.6458,10.7708,76.6458"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-07-04T00:00:00Z&endtime=2022-12-25T23:59:59Z&bbox=10.7867,76.6548,10.7867,76.6548&data=MODISA_L3m_SST_8d_4km_R2019_0_sst&portal=GIOVANNI&format=json"
Fill Value (mean_MODISA_L3m_SST_8d_4km_R2019_0_sst):, -32767

time, mean_MODISA_L3m_SST_8d_4km_R2019_0_sst
2002-07-04 00:55:01,6.4749999
2002-07-12 00:20:01,8.03999996
2002-07-20 00:55:01,-32767
2002-07-28 00:20:01,7.43499994
2002-08-06 15:17:05,4.3499999
2002-08-13 00:20:01,7.58500004
2002-08-21 00:55:01,7.0999999
2002-08-29 00:20:00,7.13999987
2002-09-06 00:35:01,7.19000006
2002-09-14 00:20:00,6.71999979
2002-09-22 00:35:01,6.40499973
2002-09-30 00:20:00,5.81500006
2002-10-08 00:35:01,6.04500008
2002-10-16 00:20:01,5.41499996
2002-10-24 00:35:01,-32767
2002-11-01 00:20:01,-32767
2002-11-09 00:35:01,-32767
2002-11-17 00:20:01,-32767
2002-11-25 00:35:01,-32767
2002-12-03 00:20:01,-32767
2002-12-11 00:35:01,-32767
2002-12-19 00:20:01,-32767
2002-12-27 00:35:01,-32767
2003-01-01 00:50:01,-32767
2003-01-09 00:00:01,-32767
2003-01-17 00:50:01,-32767
2003-01-25 00:00:01,-32767
2003-02-02 00:00:01,-32767
2003-02-10 00:00:01,-32767
2003-02-26 00:00:01,-32767
2003-03-06 00:00:01,-32767
2003-03-14 00:00:01,-32767
2003-03-22 00:00:00,2.00499988
2003-03-30 00:05:00,-32767
2003-04-07 00:00:00,-32767
2003-04-15 00:35:00,2.93999982
2003-04-23 00:00:01,2.67999983
2003-05-01 00:35:00,2.89499998
2003-05-09 00:00:01,3.125
2003-05-17 00:35:00,3.15999985
2003-05-25 00:00:01,3.4749999
2003-06-02 00:35:01,-32767
2003-06-10 00:00:01,4.8499999
2003-06-18 00:35:01,-32767
2003-06-26 00:00:01,5.00999975
2003-07-04 00:35:01,5.28499985
2003-07-12 00:00:00,5.57999992
2003-07-20 00:35:01,6.42999983
2003-07-28 00:00:00,6.53999996
2003-08-05 00:35:00,6.94999981
2003-08-13 00:00:01,7.39499998
2003-08-21 00:35:00,7.31500006
2003-08-29 00:00:01,7.38999987
2003-09-06 00:35:01,-32767
2003-09-14 00:00:01,6.39499998
2003-09-22 00:00:01,5.86999989
2003-09-30 00:00:01,-32767
2003-10-16 00:00:01,4.38000011
2003-10-24 00:00:00,-32767
2003-11-01 00:00:00,-32767
2003-11-09 00:00:00,-32767
2003-11-17 00:50:00,-32767
2003-11-25 00:05:00,-32767
2003-12-03 00:50:00,-32767
2003-12-11 00:05:00,-32767
2003-12-19 00:50:01,-32767
2003-12-27 00:05:00,-32767
2004-01-01 00:20:01,-32767
2004-01-09 00:10:01,-32767
2004-01-17 00:20:01,-32767
2004-01-25 00:10:01,-32767
2004-02-02 00:20:01,-32767
2004-02-10 00:10:01,-32767
2004-02-18 00:20:01,-32767
2004-02-26 00:10:01,-32767
2004-03-05 00:20:01,-32767
2004-03-13 00:10:01,1.21499991
2004-03-21 00:20:00,-32767
2004-03-29 00:10:01,-32767
2004-04-06 00:25:00,2.71499991
2004-04-14 00:10:00,2.77999997
2004-04-22 00:45:01,-32767
2004-04-30 00:10:00,3.18499994
2004-05-08 00:50:00,-32767
2004-05-16 00:10:00,3.28999996
